iter	Passed	Remaining
0	210	210757
1	469	234467
2	690	229584
3	918	228816
4	1158	230580
5	1400	232031
6	1626	230681
7	1946	241328
8	2120	233509
9	2305	228240
10	2488	223738
11	2666	219556
12	2831	214951
13	3037	213930
14	3224	211730
15	3395	208826
16	3556	205626
17	3774	205893
18	3959	204422
19	4139	202833
20	4327	201753
21	4509	200457
22	4650	197528
23	4808	195565
24	4969	193825
25	5135	192372
26	5344	192597
27	5518	191575
28	5680	190195
29	5875	189976
30	6051	189146
31	6250	189088
32	6443	188802
33	6656	189126
34	6848	188825
35	7021	188009
36	7184	186987
37	7312	185128
38	7480	184327
39	7655	183727
40	7822	182981
41	8017	182881
42	8189	182272
43	8371	181893
44	8594	182385
45	8788	182273
46	8966	181808
47	9121	180904
48	9247	179483
49	9375	178138
50	9507	176913
51	9695	176747
52	9880	176539
53	10051	176089
54	10248	176095
55	10428	175800
56	10591	175221
57	10734	174346
58	10909	173992
59	11111	174081
60	11309	174099
61	11512	174168
62	11680	173719
63	11851	173323
64	12066	173575
65	12265	173570
66	12415	172887
67	12568	172269
68	12704	171423
69	12877	171085
70	13127	171762
71	13338	171924
72	13550	172067
73	13726	171765
74	13899	171433
75	14058	170921
76	14200	170225
77	14346	169577
78	14530	169401
79	14706	169124
80	14894	168984
81	15073	168744
82	15255	168548
83	15396	167900
84	15534	167228
85	15738	167269
86	15942	167304
87	16103	166892
88	16235	166183
89	16391	165737
90	16565	165475
91	16767	165486
92	16945	165259
93	17112	164931
94	17258	164413
95	17421	164053
96	17594	163793
97	17757	163445
98	17966	163515
99	18182	163643
100	18340	163248
101	18489	162783
102	18648	162400
103	18797	161944
104	18986	161833
105	19129	161340
106	19279	160902
107	19434	160513
108	19575	160016
109	19727	159616
110	19917	159515
111	20088	159272
112	20277	159167
113	20411	158635
114	20563	158246
115	20722	157923
116	20895	157696
117	21046	157314
118	21207	157008
119	21343	156522
120	21538	156463
121	21674	155984
122	21855	155830
123	22040	155705
124	22179	155259
125	22354	155062
126	22505	154704
127	22652	154323
128	22841	154224
129	23015	154026
130	23147	153551
131	23340	153478
132	23525	153355
133	23731	153371
134	23916	153241
135	24087	153028
136	24296	153053
137	24476	152888
138	24687	152917
139	24852	152664
140	25043	152571
141	25168	152072
142	25381	152112
143	25564	151968
144	25725	151694
145	25865	151297
146	26045	151136
147	26242	151070
148	26424	150919
149	26597	150718
150	26803	150700
151	26967	150448
152	27129	150185
153	27328	150128
154	27520	150031
155	27712	149932
156	28001	150354
157	28235	150470
158	28411	150279
159	28643	150378
160	28840	150291
161	28987	149950
162	29188	149882
163	29360	149664
164	29535	149467
165	29665	149042
166	29834	148815
167	30004	148594
168	30209	148545
169	30390	148376
170	30532	148020
171	30673	147660
172	30825	147356
173	30974	147037
174	31141	146808
175	31291	146503
176	31443	146202
177	31633	146083
178	31809	145896
179	31982	145699
180	32168	145557
181	32367	145474
182	32508	145132
183	32663	144857
184	32835	144654
185	33018	144499
186	33158	144158
187	33299	143826
188	33504	143765
189	33693	143639
190	33882	143513
191	34021	143175
192	34166	142861
193	34373	142807
194	34566	142699
195	34756	142571
196	34909	142295
197	35046	141955
198	35169	141559
199	35353	141412
200	35555	141339
201	35716	141099
202	35925	141047
203	36075	140766
204	36212	140432
205	36378	140215
206	36530	139946
207	36741	139901
208	36913	139704
209	37055	139397
210	37184	139045
211	37360	138868
212	37525	138649
213	37678	138387
214	37830	138126
215	38015	137982
216	38187	137790
217	38362	137612
218	38559	137512
219	38790	137530
220	38992	137444
221	39117	137086
222	39272	136836
223	39430	136598
224	39583	136341
225	39765	136187
226	39951	136045
227	40086	135730
228	40278	135608
229	40420	135320
230	40606	135179
231	40763	134939
232	40912	134677
233	41102	134549
234	41269	134346
235	41445	134170
236	41637	134047
237	41786	133787
238	41962	133611
239	42153	133486
240	42301	133222
241	42464	133007
242	42634	132816
243	42818	132667
244	42980	132451
245	43136	132215
246	43321	132069
247	43504	131917
248	43672	131719
249	43842	131526
250	44003	131310
251	44191	131172
252	44378	131030
253	44542	130821
254	44684	130550
255	44875	130419
256	45061	130274
257	45498	130853
258	45659	130632
259	45828	130433
260	46014	130285
261	46172	130058
262	46354	129898
263	46528	129714
264	46710	129556
265	46857	129298
266	47007	129050
267	47234	129014
268	47458	128968
269	47628	128773
270	47777	128524
271	47947	128329
272	48082	128043
273	48267	127890
274	48443	127713
275	48579	127433
276	48769	127292
277	48951	127132
278	49102	126892
279	49255	126656
280	49454	126540
281	49657	126432
282	49800	126171
283	49930	125880
284	50093	125673
285	50255	125462
286	50402	125215
287	50586	125061
288	50759	124879
289	50914	124651
290	51059	124402
291	51233	124223
292	51380	123978
293	51524	123728
294	51690	123530
295	51847	123312
296	51978	123033
297	52180	122921
298	52375	122793
299	52520	122548
300	52654	122278
301	52822	122087
302	52987	121888
303	53130	121641
304	53323	121507
305	53483	121298
306	53634	121069
307	53786	120845
308	53954	120656
309	54118	120457
310	54272	120237
311	54442	120052
312	54589	119817
313	54717	119542
314	54875	119333
315	55037	119130
316	55202	118938
317	55324	118651
318	55488	118457
319	55643	118241
320	55769	117967
321	56203	118342
322	56534	118495
323	56739	118383
324	57008	118402
325	57208	118276
326	57415	118166
327	57601	118013
328	57743	117767
329	57919	117594
330	58080	117388
331	58273	117249
332	58483	117142
